     代码        名称      最新价      涨跌额    涨跌幅     买入       卖出       昨收       今开       最高       最低       成交量           成交额          时间戳
0     bj920000   安徽凤凰    19.93  -0.16  -0.796    19.93    19.95    20.09    20.15    20.22    19.89  1.197028e+06  2.389369e+07  15:30:02
290   sh600000   浦发银行    10.35  -0.16  -1.522    10.35    10.36    10.51    10.49    10.53    10.34  1.490771e+08  1.552120e+09  15:00:01
291   sh600004   白云机场     9.59  -0.06  -0.622     9.59     9.60     9.65     9.62     9.67     9.52  1.876949e+07  1.799237e+08  15:00:03
292   sh600006   东风股份     7.12  -0.12  -1.657     7.12     7.13     7.24     7.23     7.25     7.09  3.269113e+07  2.335181e+08  15:00:03
2589  sh688981   中芯国际   121.92  -3.04  -2.433   121.92   121.93   124.96   124.01   125.88   121.90  5.025665e+07  6.184619e+09  15:34:59
2590  sz000001   平安银行    10.96  -0.03  -0.273    10.96    10.97    10.99    10.98    11.06    10.92  1.106247e+08  1.214803e+09  15:00:00
4077  sz003042   中农联合    21.00   1.91  10.005    21.00     0.00    19.09    19.95    21.00    19.60  2.728626e+07  5.645384e+08  15:00:00
4078  sz003043   华亚智能    53.09  -0.24  -0.450    53.00    53.09    53.33    53.30    55.02    52.46  2.282875e+06  1.218487e+08  15:00:00
4079  sz003816   中国广核     3.90   0.02   0.515     3.90     3.91     3.88     3.88     3.92     3.85  1.699246e+08  6.606503e+08  15:00:00
4080  sz300001    特锐德    28.62  -0.46  -1.582    28.62    28.63    29.08    29.10    29.35    28.45  3.110523e+07  8.985274e+08  15:36:00
5471  sz302132   中航成飞    78.49  -2.11  -2.618    78.48    78.49    80.60    80.65    80.85    78.40  1.138940e+07  9.017058e+08  15:35:45

